epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,334.796,0.93884,0.37323,0.91069,0.99445,0.99935,0.995,0.96695,0.5724,0.2712,0.80715,0.000990938,0.000990938,0.000990938
63,340.553,0.87715,0.36446,0.88884,0.99872,1,0.995,0.96645,0.54166,0.25061,0.79675,0.00099064,0.00099064,0.00099064
64,345.717,0.94582,0.3848,0.89702,0.9988,1,0.995,0.95214,0.62922,0.26364,0.80951,0.000990336,0.000990336,0.000990336
65,350.441,0.9555,0.37386,0.8918,0.99896,1,0.995,0.95828,0.58082,0.25031,0.80635,0.000990028,0.000990028,0.000990028
66,356.173,0.93891,0.37305,0.9179,0.99837,1,0.995,0.96283,0.59899,0.25114,0.80692,0.000989715,0.000989715,0.000989715
67,361.28,0.91659,0.38393,0.89992,0.99701,1,0.995,0.96939,0.55871,0.24584,0.79772,0.000989398,0.000989398,0.000989398
68,366.821,0.90315,0.3666,0.90242,0.99649,0.99987,0.995,0.96853,0.53453,0.24673,0.79676,0.000989075,0.000989075,0.000989075
69,372.041,0.90662,0.35773,0.88453,0.99844,1,0.995,0.97241,0.57494,0.25672,0.80923,0.000988748,0.000988748,0.000988748
70,377.532,0.97044,0.39366,0.9224,0.99797,1,0.995,0.9705,0.57201,0.25863,0.81543,0.000988416,0.000988416,0.000988416
71,382.684,0.953,0.37578,0.90232,0.99837,1,0.995,0.96922,0.57437,0.25294,0.81495,0.000988079,0.000988079,0.000988079
72,388.145,0.91134,0.37822,0.89356,0.99801,1,0.995,0.96198,0.56322,0.25747,0.8094,0.000987737,0.000987737,0.000987737
73,393.029,0.96474,0.38639,0.90468,0.99863,1,0.995,0.97425,0.59185,0.26431,0.81473,0.000987391,0.000987391,0.000987391
74,398.247,0.95978,0.38623,0.90926,0.99873,0.99091,0.99491,0.97123,0.52099,0.2516,0.80381,0.00098704,0.00098704,0.00098704
75,403.938,0.90332,0.37204,0.91028,0.99798,0.99091,0.99491,0.96574,0.5434,0.25172,0.80009,0.000986684,0.000986684,0.000986684
76,409.917,0.94427,0.3771,0.92085,0.99876,1,0.995,0.96933,0.58976,0.25947,0.7987,0.000986323,0.000986323,0.000986323
77,415.359,0.93479,0.36236,0.90486,0.99889,1,0.995,0.96173,0.58643,0.25944,0.80642,0.000985958,0.000985958,0.000985958
78,420.476,0.94199,0.37911,0.90505,0.99566,0.99116,0.995,0.97279,0.5749,0.25636,0.81518,0.000985588,0.000985588,0.000985588
79,425.83,0.89887,0.36608,0.89774,0.99225,0.99091,0.99491,0.95736,0.5796,0.25013,0.80441,0.000985213,0.000985213,0.000985213
80,431.914,0.89329,0.35942,0.90203,0.99806,1,0.995,0.97022,0.56361,0.26505,0.80439,0.000984833,0.000984833,0.000984833
81,437.093,0.92166,0.36879,0.89137,0.99704,0.9998,0.995,0.97478,0.52781,0.24806,0.80138,0.000984449,0.000984449,0.000984449
82,442.433,0.87086,0.35963,0.89468,0.99768,1,0.995,0.97182,0.53838,0.23665,0.80641,0.00098406,0.00098406,0.00098406
83,448.366,0.87502,0.35744,0.90486,0.99902,1,0.995,0.96803,0.58308,0.24529,0.81758,0.000983666,0.000983666,0.000983666
84,453.105,0.8959,0.36646,0.88546,0.99797,1,0.995,0.96738,0.55937,0.2488,0.80842,0.000983267,0.000983267,0.000983267
